Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,1454.663015,1637.377987,1626.764793,1806.76393,1874.765634,1897.525938,1886.692977,1896.99252,1934.636754,1951.558504
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2549.464533,3861.341888,8814.834988,9628.003545,10207.75352,10526.25533,10571.00749,11259.28982,11662.04493,11868.21152,12930.06768,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6682.532595,8162.412895,12291.76077,12656.37208,13046.36996,13479.68058,13816.36005,14317.04272,14710.73011,15050.43219,15266.48521,15621.85944
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3089.683369,3097.307292,6092.783245,6230.297028,6346.395122,6772.528333,6980.423038,7199.245478,7096.600615,6756.935074,6650.58494,6440.97627
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11338.6407,16544.40627,21875.23479,20237.67277,19953.19277,20779.82503,20867.02846,22000.75028,22882.97022,24177.95972,25145.54123,26739.46819
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7380.115031,11916.58261,16753.39489,18524.85676,19817.45048,19764.22501,20365.61335,20008.32064,20551.83319,20130.40803,20843.15507,20567.30179
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2428.55896,2327.362522,6326.657969,6565.67866,7019.767748,7649.061531,8003.087763,8405.073655,8727.385447,8808.572714,9620.818491,10324.93513
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24101.10943,33120.05418,34693.08675,33732.84745,35492.61849,35498.98209,37419.89282,38223.37226,38249.05487,38390.27165,39454.62983,..
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17329.57788,26328.67368,40300.30823,39324.36895,41965.35842,42826.78958,45902.04795,46880.22066,46270.1974,47352.11161,49653.71589,51544.86742
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19442.31204,29380.06604,40926.52376,42006.04688,44452.73275,46457.34578,47922.04912,48799.71547,49877.71331,51655.50309,53879.29785,56253.0858
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5703.869981,3663.445257,15162.8878,15884.04479,15754.15236,16193.39567,17216.17853,17808.9019,17973.09067,17417.08669,17525.27963,18012.31548
The Bahamas,BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20120.34846,26238.18446,28760.51286,29099.05721,29503.70807,30656.07675,30762.79394,31005.8011,31362.47918,30862.53836,31581.10439,..
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22785.93747,35763.00654,39423.08169,39740.46109,40168.29077,41754.68966,44274.96706,46333.3989,46912.90416,47215.551,47660.47991,47219.84105
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,860.21051,1346.743205,2335.918717,2466.902949,2650.729933,2844.702565,3033.404632,3240.885623,3451.398507,3696.776193,3998.419424,4364.045283
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9164.713223,12247.67412,15774.81489,15942.74653,16333.19912,16651.29353,16909.51838,17200.53861,17510.97601,18027.95831,18526.00856,..
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5429.321055,6027.325186,14580.5808,15927.8747,17166.69564,17807.41774,18298.84706,18949.88244,18389.74375,18098.42286,18915.93989,19959.54272
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18758.99755,27988.47361,38008.8318,40051.9559,41284.15101,42435.90925,43611.07291,44604.51105,45592.35618,47214.18064,49411.8691,50774.90592
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3319.801337,5533.400542,7533.770788,7688.617871,7830.225867,8026.172778,8052.794458,8323.893358,8519.200276,8388.182053,8500.4448,8786.494801
