Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2212.75089885175,2200.76448734821,2202.5708512665,2190.24032132044,2202.27848949912
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12125.9314807437,12547.928084194,13037.0100155002,13601.3033805754,13961.7965978885
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11510.7537354979,11637.8978286786,11550.5554568171,11479.4983728015,11349.7005682198
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,8036.41409222015,7568.99722478798,7310.90173803536,6933.50930820608,6653.90767287624
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,18595.0849042657,19417.9648194984,19840.0761229321,21115.7982687308,21908.4585035162
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,23934.0962820711,23189.7305942385,23562.9188342608,22745.9037844103,22033.9453093203
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11321.3557593842,11303.0716996176,12115.0570089389,12714.9581875586,13653.7495326269
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,37276.0804173621,37866.1738534243,38442.4138382323,..,..
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,48020.2541377547,48585.890201519,48905.4171954152,49575.981131221,49756.306706298
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,53164.8014030839,53688.2823908977,54637.0012845153,55687.1892771302,56352.4445352665
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14853.9105525729,14238.7841366188,14121.4069355591,14209.6494059309,14403.8504687949
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,35837.3462624269,35642.4724116739,35308.4133992786,35500.5441974506,35782.7979039639
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,48304.0669238186,48091.0192304117,47642.4482864603,46242.3150198831,45025.7715931437
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3700.11028454462,3920.30116212214,4161.09013459284,4441.42350607517,4753.72592342133
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15382.9274290296,15738.1887968761,15788.8205162215,15674.8496347642,15638.8298973988
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,18307.5196678406,17822.6065945418,18280.1989190642,18885.2354999668,19149.6378488406
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,49491.6208733935,49969.6181652048,50725.1863102987,51245.9962234656,51707.7918992621
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7259.28758504138,7118.20215083655,7108.86670023723,7119.09623772387,7004.91230122915
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2945.97300620254,2961.44177792771,3044.51388698516,3160.7770925266,3287.30953781495
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10086.1975071692,10775.1464324185,11142.3999477275,11345.4449257567,..
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7984.41331117096,8202.55085683675,8423.69679405991,8655.52988630046,8724.47574033647
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12793.5416111631,13363.9154387807,13788.4820641797,14419.6344708554,14894.7866167587
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,16714.3537396502,17117.0721498154,17253.2316097939,17634.1423101317,17766.4880429157
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15059.2343677166,14446.4128054679,14519.8491302518,14596.2461623842,14651.6161809346
British Virgin Islands,VGB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,63148.5490356698,60865.9869452396,60995.6811141379,60388.9030876585,62099.587852317
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,19598.8597903392,20489.081706016,21363.0290871128,22181.496811059,23091.3421370835
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1934.75449608592,1991.13809784615,2053.50441763731,2131.54790116674,2189.63101535424
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,825.205985575849,794.604574423363,773.571858394255,761.524193384446,751.663957194118
Cabo Verde,CPV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,6266.84595028906,6482.64831875424,6643.204610776,6864.14742789843,7171.83946598235
Cambodia,KHM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3543.70355294289,3733.95549751035,3928.37368825169,4159.33742648163,4388.80090863326
Cameroon,CMR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3458.69390039658,3524.44451445235,3554.52515589469,3603.54888184177,3652.68651238746
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,47770.4156124365,47705.5230347711,48633.829775434,48924.3991847307,49031.3799412998
Cayman Islands,CYM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,67104.7981428677,68248.2354326898,69420.5114565353,70809.6181573197,..
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,852.749426426479,884.494416853048,912.80205230035,933.109550675102,944.868093487866
Chad,TCD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1857.10733723028,1687.05264231676,1587.03105963951,1576.31867039522,1579.62669496964
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,23633.6638371824,23721.6056509058,23663.8852921125,24258.649845584,24226.1508878998
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12691.9435827488,13487.9479006924,14344.4204022609,15243.2477845168,16116.7042797706
Colombia,COL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14237.5838137359,14338.4330882028,14316.4858099112,14455.5890677618,14730.8849270675
Comoros,COM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2959.53997137324,2987.98905294039,3032.25468181699,3066.83784677933,3081.38367697852
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1065.24240955909,1055.57295486991,1059.8107753086,1085.89370062626,1097.94885276596
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3802.37599469408,3603.2297965324,3448.53720769405,3414.4160388068,3298.06761863102
Costa Rica,CRI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,18024.4919696438,18592.1416918575,19112.4088874561,19426.6533725302,19642.4178531668
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4417.15120275926,4615.71162066949,4830.75170129491,5028.92007015129,5238.26085646938
Croatia,HRV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,24449.4667091794,25478.5314816333,26595.738840327,27557.537629951,28508.5166054649
Cuba,CUB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..
Curacao,CUW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,26548.7000044222,26009.5280033975,25475.4896636129,24982.1450961915,..
Cyprus,CYP,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,34375.5637176701,36526.8190572448,37766.901656904,38822.4919713012,39544.6818471754
Czech Republic,CZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,36166.9931624967,36982.1887086232,38489.4963100125,39452.7678936873,40314.2284971055
Denmark,DNK,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,53018.9324912058,54314.3809429729,55064.9088637057,56102.8219431727,57184.1934507633
Djibouti,DJI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4488.82721398241,4709.54923350247,4885.22056254083,5214.08849899121,5519.33288841046
Dominica,DMA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11872.4073907693,12154.7514389872,11304.3597107511,11533.4008897018,12155.558696274
Dominican Republic,DOM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15328.3520547721,16166.6037518994,16735.3325857593,17711.7655340058,18419.0342630152
Ecuador,ECU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11896.3766290296,11551.6166736527,11617.9087583298,11561.7492066323,11375.3311843291
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10570.4454607908,10795.8086274334,11014.4861365513,11366.3363290551,11763.2536364885
El Salvador,SLV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,8143.01691717694,8309.63033637941,8454.05819814848,8615.57615103642,8775.98651978437
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,28313.6027630713,24827.072977646,22551.083245578,20359.8451441929,18558.0038515413
